Price,Close,High,Low,Open,Volume
Ticker,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS
Date,,,,,
2002-08-12,414.705322265625,420.78038292223084,414.5821840533494,417.1271490057736,7100
2002-08-13,417.90704345703125,422.7917346850074,413.3507542017499,413.3507542017499,8800
2002-08-14,422.29925537109375,422.79180830880176,412.20149423760347,412.20149423760347,18700
2002-08-15,422.29925537109375,422.29925537109375,422.29925537109375,422.29925537109375,0
2002-08-16,419.5079650878906,424.3105313381264,418.6870101659965,423.6127396973612,9400
2002-08-19,421.1499328613281,426.0346253399154,420.3700155568278,422.7918429309629,9100
2002-08-20,429.60577392578125,449.3497331455769,421.3962233057315,424.0232895255715,87200
2002-08-21,426.65032958984375,438.2257752116393,425.2546960485697,435.10615618869105,26000
2002-08-22,430.878173828125,435.9270666771173,424.064257948568,427.7175173988289,17700
2002-08-23,461.2946472167969,469.5862729017604,439.210937067206,439.210937067206,701900
2002-08-26,448.5697326660156,459.7346981496653,435.1060536059332,459.7346981496653,50100
2002-08-27,453.1671447753906,458.0928746099057,448.24141494087553,448.24141494087553,29100
2002-08-28,455.9173889160156,457.27198485655447,444.1367034244093,444.1367034244093,20100
2002-08-29,454.68597412109375,466.26147140160293,449.88340670188853,455.63009255391995,138400
2002-08-30,455.671142578125,459.6528050901218,453.98819455463683,455.7121803138929,39400
2002-09-02,458.8728942871094,460.9663199126606,457.2720217121139,458.5034544456295,22900
2002-09-03,458.29803466796875,460.1451830387756,456.45088629716184,459.7347056230407,8400
2002-09-04,459.0779724121094,459.73472628538104,453.20812506044365,453.20812506044365,7800
2002-09-05,468.9295654296875,474.51205011550417,463.01867865941927,468.7653643874617,974200
2002-09-06,464.1679382324219,467.94431087382173,461.37667142296107,467.94431087382173,14500
2002-09-09,459.81683349609375,462.77230129065947,456.1636241651645,459.7347580464303,16800
2002-09-10,459.81683349609375,459.81683349609375,459.81683349609375,459.81683349609375,0
2002-09-11,460.18621826171875,462.6080450228336,456.4508838202227,462.6080450228336,32400
2002-09-12,459.73492431640625,460.55587953839984,457.39522197657664,457.39522197657664,13200
2002-09-13,457.31304931640625,459.7348769934216,455.21962373723625,459.7348769934216,1900
2002-09-16,458.257080078125,459.52955027631475,452.34619419785514,452.34619419785514,5300
2002-09-17,460.10418701171875,460.5146644646497,454.8910932952292,458.09283747093497,7300
2002-09-18,460.3094482421875,460.55572470456406,456.6561887110762,456.6561887110762,7800
2002-09-19,455.671142578125,459.7348805616576,453.5777169827068,459.7348805616576,23800
2002-09-20,453.4955139160156,460.55570612391193,451.9356795387051,451.9356795387051,2900
2002-09-23,457.7645263671875,459.7348385753588,451.85368995691533,451.85368995691533,6000
2002-09-24,468.6421203613281,476.1538783120275,453.98809432163995,458.05183140796726,195900
2002-09-25,461.0893859863281,467.1233850651494,458.9138352397514,466.26139235490575,16700
2002-09-26,459.03717041015625,462.19782823355325,457.76464962504906,459.81703784988724,4700
2002-09-27,461.86932373046875,467.0413809967076,455.63008495234897,467.0413809967076,58000
2002-09-30,467.9443359375,469.0936929458066,462.443927581373,464.6605160361842,151700
2002-10-01,460.2684020996094,464.2910511971686,458.092851489654,462.1976261445792,7000
2002-10-02,460.2684020996094,460.2684020996094,460.2684020996094,460.2684020996094,0
2002-10-03,463.0184631347656,465.80972923196407,459.734644247285,459.734644247285,8900
2002-10-04,464.45513916015625,467.12324203646295,463.0184683806065,467.0000787839471,6800
2002-10-07,464.7015380859375,467.6159181286101,457.27190583128635,457.27190583128635,13700
2002-10-08,465.0709533691406,466.3023857258109,456.4509268724487,456.4509268724487,8200
2002-10-09,463.59332275390625,465.4404716004586,461.3767341166197,461.3767341166197,8800
2002-10-10,465.1120910644531,467.123441034091,461.5819942379924,461.8282707408391,37100
2002-10-11,460.719970703125,463.01863475495287,459.7348146503078,461.787202215711,10600
2002-10-14,459.8580017089844,472.0491644345768,459.77587613785363,472.0491644345768,1600
2002-10-15,459.8580017089844,459.8580017089844,459.8580017089844,459.8580017089844,0
2002-10-16,459.8580017089844,460.5557934744306,456.8614956658122,459.73483840584873,5600
2002-10-17,460.678955078125,463.42913450488055,455.21958384934675,455.8353001485118,12400
2002-10-18,461.86932373046875,466.1383003136091,457.35407063634636,457.35407063634636,34500
2002-10-21,450.17071533203125,463.0186828693949,447.5847367951731,458.1750276688692,29200
2002-10-22,453.4134521484375,485.18442176785794,451.5252656046055,480.2586915976259,13400
2002-10-23,455.876220703125,458.0928088317972,450.2937377136931,455.62994426818534,20400
2002-10-24,460.3915710449219,463.4291146789445,449.92439440691203,449.92439440691203,10700
2002-10-25,459.40631103515625,462.1975775498812,449.4727774574777,449.4727774574777,30200
2002-10-28,461.86932373046875,463.83963603257143,450.6222788362625,460.9662931544936,31600
2002-10-29,460.3094482421875,461.91032040830515,456.8614274475756,456.8614274475756,4300
2002-10-30,456.45098876953125,462.11559842120886,450.7453413884886,450.7453413884886,16900
2002-10-31,451.93585205078125,454.85023308254364,451.5253744376561,454.1114034431967,25100
2002-11-01,438.18463134765625,449.6779987272669,427.7584952033027,444.21862917910977,49900
2002-11-04,439.662353515625,440.8527480522713,434.8187500351807,437.7331296889652,4000
2002-11-05,436.21441650390625,447.3383967706636,435.1471850319433,447.3383967706636,5300
2002-11-06,436.21441650390625,436.21441650390625,436.21441650390625,436.21441650390625,0
2002-11-07,437.36358642578125,439.66224940669395,431.00118793718474,435.926915799324,32100
2002-11-08,431.9864807128906,435.1060993281609,431.00132480619715,434.40830770227143,6900
2002-11-11,430.6319885253906,433.4642936473519,429.0311160558366,431.2066671179386,5800
2002-11-12,433.5874328613281,454.8091010156924,430.5909268641348,454.8091010156924,12600
2002-11-13,426.5682373046875,438.22580940142933,426.0756843021001,435.0651524027305,16700
2002-11-14,423.40740966796875,426.89646733367664,421.19082183539285,423.6947237858336,30500
2002-11-15,422.5865173339844,425.17254520509795,421.1498463182788,422.79175605051375,13400
2002-11-18,424.3515625,430.42659804646036,421.9707735016041,423.61268312612395,15400
2002-11-19,424.3515625,424.3515625,424.3515625,424.3515625,0
2002-11-20,425.0904846191406,433.0537580588981,423.69485111202994,428.53850560520345,24100
2002-11-21,423.61273193359375,426.896551560986,421.97082211989766,426.896551560986,6000
2002-11-22,425.0084228515625,434.2852045337908,422.1350802884845,423.61278929950106,13400
2002-11-25,431.1245422363281,435.1061539799011,424.7210530920622,426.8966039048086,6800
2002-11-26,439.5394287109375,445.77866811126415,432.7254605491327,442.4948473516968,22200
2002-11-27,430.5497741699219,437.56892800295697,426.9375528452536,437.56892800295697,6300
2002-11-28,439.005615234375,441.5916431088936,433.62837087564685,437.4868687729013,5800
2002-11-29,439.005615234375,439.005615234375,439.005615234375,439.005615234375,0
2002-12-02,445.8607177734375,447.2973892725694,442.20750747563113,447.2973892725694,7500
2002-12-03,447.5025329589844,449.4728449247882,444.99863032831485,445.778547569242,7700
2002-12-04,447.17425537109375,449.88339719408606,442.8642410731577,448.9803666221296,23300
2002-12-05,438.3899230957031,448.241382041674,435.92705835921043,447.4204271295098,12300
2002-12-06,443.1103820800781,485.1843183127859,439.2929219692918,447.4203950600141,13500
2002-12-09,425.3366394042969,439.2107948353959,422.8737751341919,435.1060210518875,30100
2002-12-10,428.66168212890625,433.87472644351675,426.23985480756147,426.8966087996759,9800
2002-12-11,428.1689758300781,429.359370339055,418.89219639675485,424.4336414250314,33200
2002-12-12,428.2101745605469,428.86697874839894,425.58315823763667,425.7062714425156,4500
2002-12-13,428.1689758300781,428.948892929553,426.07555106303926,427.019669147736,6500
2002-12-16,423.94122314453125,429.35950662699463,420.32900075147467,426.9787168533271,29200
2002-12-17,424.80316162109375,428.94897422133147,423.24332712653376,424.22848311746037,2600
2002-12-18,424.556884765625,428.45642089137806,423.694841957398,425.2546764505453,3000
2002-12-19,420.3289489746094,426.8555510748374,418.6870390176773,421.7245824594247,17700
2002-12-20,423.61273193359375,425.2546417472899,422.3812995733217,424.43368684044185,13500
2002-12-23,426.445068359375,427.71753853897974,423.8180024390562,425.66515111796735,22400
2002-12-24,426.6092834472656,430.0162166142636,425.2546876618668,429.35946263929793,2700
2002-12-25,426.6092834472656,426.6092834472656,426.6092834472656,426.6092834472656,0
2002-12-26,427.142822265625,429.1952095051361,424.43368113089247,429.1952095051361,3000
2002-12-27,429.4825744628906,433.46418567100164,408.8765764813097,426.8965464941683,5000
2002-12-30,428.70269775390625,434.28518155971585,426.89658678837856,426.89658678837856,10000
2002-12-31,429.81103515625,430.91935461215763,418.6871035060912,422.7918790306607,10300
2003-01-01,430.9192810058594,431.00135645948205,421.14989688326534,421.14989688326534,2300
2003-01-02,431.1655578613281,433.4642217430883,427.88173799963806,433.38214628939187,1600
2003-01-03,432.1917419433594,433.4231743640696,423.65379045025634,423.65379045025634,5000
2003-01-06,433.7514953613281,440.03182030214106,431.98647241505375,433.8746586374656,8800
2003-01-07,435.4756774902344,439.21101347122783,433.46432731366036,433.46432731366036,7600
2003-01-08,439.0877380371094,442.4536834199303,433.8746941109773,436.46072226441817,35200
2003-01-09,440.4012756347656,441.63270801135246,437.1995314127951,437.1995314127951,4100
2003-01-10,446.1068115234375,447.42031902268275,434.6955209587349,435.10599831563644,11400
2003-01-13,445.819580078125,450.2117191692466,444.54710991419785,450.2117191692466,13000
2003-01-14,442.04327392578125,449.88338493748273,440.93495450080457,448.2414747734773,10400
2003-01-15,445.4500732421875,446.5994300535503,439.94971593566913,444.9575203842358,8000
2003-01-16,440.7297058105469,444.9576444305489,439.2109589858739,442.9052567717364,7800
2003-01-17,445.7784118652344,447.37928358672275,438.38981940337965,439.3749750863802,18500
2003-01-20,440.4835510253906,443.31585679858625,438.3901250563797,443.31585679858625,9400
2003-01-21,438.2257995605469,443.274693205735,435.10618036426484,441.67382082259337,11500
2003-01-22,439.8265686035156,441.67371704842077,435.7628320033027,435.9270329976049,7400
2003-01-23,450.17071533203125,451.5253113088071,443.3157601941015,443.3157601941015,274600
2003-01-24,443.35675048828125,447.420487876658,441.8790414671765,442.65895876104565,11700
2003-01-27,452.3462219238281,454.8090870159724,436.05028460698776,446.59953670882487,20500
2003-01-28,453.4134521484375,466.3024561153017,444.42398456634027,457.2719508032096,12000
2003-01-29,443.6030578613281,450.70433935299906,441.6738334643233,441.6738334643233,12900
2003-01-30,442.6588439941406,449.80116086935,436.1322432270165,443.3976732595798,15800
2003-01-31,442.9873046875,447.2152430445821,434.0389251158164,442.69999047598145,5200
2003-02-03,443.8904113769531,448.2414631775825,441.67382269146407,442.9873307458396,5900
2003-02-04,440.31927490234375,451.4432572766757,439.41624427969634,447.4205569966081,12900
2003-02-05,437.9794616699219,449.02131566409133,436.1323130499456,449.02131566409133,7300
2003-02-06,436.9123229980469,441.42757613854184,435.1062117204241,438.43106992063656,6700
2003-02-07,436.9123229980469,439.2109873026923,436.74812195333135,436.7891596877293,3500
