Price,Close,High,Low,Open,Volume
Ticker,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS
Date,,,,,
2022-06-17,1172.130615234375,1183.054310169029,1131.761158049272,1132.7632950448815,4193620
2022-06-20,1167.6234130859375,1181.6183958480258,1149.9140846053442,1181.6183958480258,2428580
2022-06-21,1171.636962890625,1189.3363103439258,1164.6569385428445,1181.0001815866408,3079180
2022-06-22,1140.2918701171875,1166.6613546131443,1131.7612286204435,1166.6613546131443,2848330
2022-06-23,1151.9881591796875,1155.5928331972189,1128.25602933576,1150.4575055776595,2535530
2022-06-24,1154.9896240234375,1165.2601579393508,1139.7382274572853,1162.6725924892344,3662910
2022-06-27,1156.2061767578125,1174.6384126243177,1151.7040463336903,1174.6384126243177,2463700
2022-06-28,1133.201904296875,1151.7040079563837,1125.7782034482748,1151.4597119750897,3490570
2022-06-29,1107.8048095703125,1121.685132683724,1100.899643084289,1116.8040810859602,3902730
2022-06-30,1090.4481201171875,1116.8071298093503,1088.1787707589174,1112.1189026809432,3481840
2022-07-01,1129.4306640625,1131.4706067708391,1070.0441363822736,1089.2760728259263,4089830
2022-07-04,1135.9891357421875,1141.4455833260342,1118.7223789920097,1128.1787115746688,3004250
2022-07-05,1149.59521484375,1171.8695921482845,1138.1288931891313,1145.111432177975,4223480
2022-07-06,1199.8494873046875,1203.9891595552433,1150.1238616132523,1150.6226143719746,4782940
2022-07-07,1193.749755859375,1216.9567364328377,1182.0440431745187,1213.76476746983,2729250
2022-07-08,1197.31591796875,1209.7048586881901,1185.0365664796084,1201.9941604443839,1690110
2022-07-11,1190.8369140625,1201.6499608456406,1181.0015249066857,1186.5327364798952,1613680
2022-07-12,1183.5152587890625,1196.0090389494303,1171.1711287999055,1185.0364789590687,2272440
2022-07-13,1174.083984375,1208.9767085093488,1169.0764871064,1186.1338074029982,2672490
2022-07-14,1169.7000732421875,1192.6976197845913,1160.3684272859132,1183.3558672646345,2405440
2022-07-15,1181.0714111328125,1184.118722084279,1165.0863619928919,1176.7571270154383,1711040
2022-07-18,1221.9443359375,1225.5952404560362,1189.0316441842488,1191.0216629464285,2834830
2022-07-19,1241.3756103515625,1243.8893436641106,1206.2884278670329,1216.9566954853367,4230630
2022-07-20,1238.9766845703125,1260.6475905335244,1234.1138449070686,1260.6475905335244,2721470
2022-07-21,1268.472900390625,1272.5526637891423,1235.016526972431,1236.9068193765074,2713300
2022-07-22,1272.2435302734375,1283.290855233425,1262.612585225874,1279.3656125531552,3024220
2022-07-25,1258.8070068359375,1276.3032922351242,1253.864410929262,1266.831982402675,1747020
2022-07-26,1327.9791259765625,1351.5052543197128,1275.809539419091,1296.757154999858,13270240
2022-07-27,1327.3856201171875,1335.5552541424997,1297.7098290871709,1331.6649580240567,5339660
2022-07-28,1460.5523681640625,1518.5273778476942,1347.3305114871387,1347.3305114871387,16276260
2022-07-29,1501.00634765625,1516.308047541739,1477.5200374217934,1496.258211856029,10442350
2022-08-01,1503.550048828125,1521.1958623841947,1489.3754131064068,1516.2033425684917,4320160
2022-08-02,1518.6173095703125,1525.1858440408403,1482.42778235973,1496.258185782381,4248930
2022-08-03,1520.58740234375,1529.9739630609934,1507.7644888043535,1517.2058441344727,3096500
2022-08-04,1514.7420654296875,1536.8516921720507,1501.7445394611714,1531.0712256942127,3113610
2022-08-05,1504.82177734375,1521.2955950866206,1498.5923604430877,1513.8143039281401,2078470
2022-08-08,1549.1907958984375,1555.0113231977155,1500.323011983666,1502.7420114884346,4870730
2022-08-10,1560.417724609375,1563.4901194291388,1538.7519347282494,1549.1260161113903,4425480
2022-08-11,1569.7694091796875,1589.0263069853654,1566.2033756214341,1589.0263069853654,2536510
2022-08-12,1572.6123046875,1584.8765565083108,1564.0885766125539,1573.0661258405596,2052510
2022-08-16,1587.6048583984375,1593.0163747522467,1577.0562858380101,1577.55503861658,1522190
2022-08-17,1679.8292236328125,1709.8740845517443,1589.026268352444,1593.714495516338,9435810
2022-08-18,1676.3978271484375,1694.6622123142388,1657.919012382667,1683.7893774079087,3616590
2022-08-19,1624.697021484375,1690.4724738268012,1608.4775727766926,1683.789235874144,5126830
2022-08-22,1583.2108154296875,1625.809243087865,1577.639664527002,1624.7369734039307,3722010
2022-08-23,1626.3231201171875,1647.9291248476263,1563.260847235325,1576.0488150597346,7064070
2022-08-24,1629.310546875,1638.5424652388829,1613.988876856284,1625.4352282281409,2649190
2022-08-25,1620.577392578125,1655.3604050772078,1615.958937164855,1637.4602221557548,3693150
2022-08-26,1624.5374755859375,1646.5375135428262,1621.5799057952368,1638.20337435411,2071780
2022-08-29,1604.62744140625,1614.9615849289182,1567.1810417875542,1568.6773002047212,3079400
2022-08-30,1691.9837646484375,1695.7593570761187,1632.9165103138862,1634.911521322211,7661440
2022-09-01,1736.298095703125,1764.283046050562,1676.25817262017,1676.8068493854862,10171920
2022-09-02,1728.602294921875,1780.0485932003119,1720.6970150017025,1765.0860104611668,6944080
2022-09-05,1733.275634765625,1748.5175490628772,1716.213321513766,1737.6546988194386,3700530
2022-09-06,1692.662109375,1744.2380872483072,1688.906486567873,1738.1533280713481,5077980
2022-09-07,1701.3055419921875,1710.123456533127,1676.8367028107557,1690.7718254462443,3207730
2022-09-08,1733.9488525390625,1744.637089694538,1699.9487953516716,1723.689474552408,4301170
2022-09-09,1716.2730712890625,1754.1135026237919,1711.1260303431388,1750.6222332128261,3957300
2022-09-12,1709.530029296875,1737.6546443172335,1700.9663614665799,1733.6646221718438,4250820
2022-09-13,1780.2979736328125,1839.4001755870045,1745.6346568748686,1750.6221844659397,10413183
2022-09-14,1800.8466796875,1808.9264505556116,1747.6297811943627,1764.5873761032121,3784309
2022-09-15,1767.779296875,1819.4002093757524,1765.5848333590718,1810.472583359726,3051984
2022-09-16,1730.5723876953125,1781.0461437243696,1707.7294864498015,1767.7792713207414,3277213
2022-09-19,1761.544921875,1774.861718717004,1732.6671841783543,1734.213366526291,2309647
2022-09-20,1795.11083984375,1808.4275136663105,1775.5597567628927,1780.54728416953,2832208
2022-09-21,1797.5048828125,1815.459981530938,1773.6146751684566,1795.5098718437848,2080898
2022-09-22,1767.9288330078125,1783.539818298542,1728.6770162815287,1782.3428604154028,4480817
2022-09-23,1717.604736328125,1773.764222641537,1710.1234451150392,1767.5797372783757,2759913
2022-09-26,1672.6173095703125,1740.7468637275545,1657.3554263630226,1695.7593889961713,4915173
2022-09-27,1675.3603515625,1711.470000670113,1660.8465983480914,1684.2879767632146,2624336
2022-09-28,1648.0784912109375,1674.7119603579342,1641.1458768907341,1665.8341373089354,2114266
2022-09-29,1631.8192138671875,1680.796707825133,1623.938896343808,1667.7792128059818,2418856
2022-09-30,1674.163330078125,1694.7618429879083,1616.9564140573275,1621.6945651781,2788387
2022-10-03,1642.4925537109375,1681.794295284873,1633.9140306504282,1681.794295284873,1464138
2022-10-04,1696.9066162109375,1700.7469882829291,1665.884217493368,1677.8043602884968,1806381
2022-10-06,1706.2830810546875,1719.8491314961461,1690.6720956327165,1713.7144483204172,1661891
2022-10-07,1694.761962890625,1705.584873968517,1680.2981321302282,1703.7395130177676,1150275
2022-10-10,1680.1983642578125,1689.724469152545,1652.8666879731684,1671.1210881519796,1229639
2022-10-11,1668.477783203125,1702.792000546119,1660.8468409321642,1680.1984741226163,1402150
2022-10-12,1690.4227294921875,1697.3553440500875,1663.2407044633978,1676.8566789685956,1538819
2022-10-13,1677.554931640625,1690.3230511809024,1662.2930482655909,1688.7269449140088,1065166
2022-10-14,1684.0885009765625,1704.7368150979346,1680.896410475119,1704.7368150979346,1239168
2022-10-17,1714.96142578125,1720.6970827236623,1669.824299408354,1679.7993549603752,1551410
2022-10-18,1721.94384765625,1731.9189025304354,1707.7293944605358,1725.6844932340696,1661431
2022-10-19,1694.5623779296875,1726.682006054653,1688.1783184299347,1720.6969731047234,1804532
2022-10-20,1721.3951416015625,1725.6844638307005,1672.3179211631036,1682.7917286025386,1438398
2022-10-21,1680.2481689453125,1736.058677326484,1670.9215164395346,1727.1808536102653,2734130
2022-10-24,1697.554931640625,1719.898957731167,1688.7768344151907,1708.5772945057038,499690
2022-10-25,1654.4129638671875,1696.6573017322635,1650.8717702759773,1695.7595223378619,1870289
2022-10-27,1626.8817138671875,1672.368066758769,1616.9565818275662,1667.4802649528256,2177395
2022-10-28,1649.275634765625,1656.3578995342295,1630.9215090264772,1635.061181246587,2115388
2022-10-31,1683.29052734375,1685.6346409101486,1658.003787330592,1660.8466536458334,2217631
2022-11-01,1704.786865234375,1710.4226740347588,1686.781841812079,1687.7793473365095,2002317
2022-11-02,1706.1334228515625,1718.2032149868428,1695.0112122301264,1700.7468688258734,2036615
2022-11-03,1719.2008056640625,1728.1783555630916,1689.774392106134,1693.6646880822093,2205874
2022-11-04,1796.2081298828125,1800.4974522982125,1716.7569131261791,1718.6022739734335,6981242
2022-11-07,1773.6146240234375,1813.3651920756577,1761.1458058285252,1808.676843374889,2464569
2022-11-09,1748.327880859375,1793.514929742185,1741.1958137850065,1793.2156293790626,1762741
2022-11-10,1696.1083984375,1752.5173813684296,1689.774263067827,1740.647041944131,2030748
2022-11-11,1714.96142578125,1743.639710493311,1703.0910853211817,1735.659666051694,1671510
2022-11-14,1714.0635986328125,1730.6720900169735,1703.8890909597867,1719.699529215713,1459293
2022-11-15,1704.2381591796875,1725.4850751909728,1692.0686406972536,1719.1010155912497,1401141
2022-11-16,1681.4453125,1710.2233242534041,1670.821853674221,1709.4252710796504,2040699
2022-11-17,1660.4476318359375,1695.709426926657,1656.0585832804256,1681.395247347154,1875515
2022-11-18,1650.2730712890625,1670.4725570243454,1637.1059260465806,1663.8391213062644,1581747
2022-11-21,1631.7694091796875,1653.56488082108,1620.9464984508857,1650.2731856067903,1943750
2022-11-22,1639.2506103515625,1655.7593747936462,1627.928947478084,1630.9713879061023,1508906
2022-11-23,1632.1185302734375,1651.869188846405,1625.983968560844,1647.480140078433,1837952
2022-11-24,1629.924072265625,1643.3404732361491,1615.9589945350751,1634.9116000265358,1660403
2022-11-25,1629.6248779296875,1642.8418273560983,1620.4478749588104,1629.9241783211428,1140578
2022-11-28,1648.7269287109375,1657.7544021232106,1624.7867968940525,1625.9339525634396,2005182
2022-11-29,1627.9290771484375,1648.72704376252,1625.9839900089064,1644.8866717020671,1346735
2022-11-30,1622.4427490234375,1640.5474987960745,1619.2507800249514,1630.123492919314,2900845
2022-12-01,1634.7120361328125,1638.4027577178483,1620.1483586515644,1630.7220141962089,2111362
2022-12-02,1638.5523681640625,1648.8765253215358,1621.1957488075172,1628.1283630479502,1682841
2022-12-05,1630.12353515625,1650.8716994814363,1627.3305926516616,1645.884171688441,1383542
2022-12-06,1631.1710205078125,1642.791985016253,1623.9391049605374,1625.9341161459927,1177485
2022-12-07,1602.6920166015625,1637.9040089845942,1589.0262401415703,1631.320497126246,2376490
2022-12-08,1614.5623779296875,1617.7544685891385,1596.2082523767208,1605.98385498294,1161239
2022-12-09,1594.6124267578125,1622.8916861460448,1578.0538581618696,1617.954082135621,1766412
2022-12-12,1588.12841796875,1599.9488333125396,1566.1832978562684,1582.1933091901046,1365732
2022-12-13,1607.43017578125,1612.8666537701192,1587.2806135566418,1596.108512804408,1279634
2022-12-14,1619.00146484375,1623.8393425073245,1609.2757855317511,1615.7096477549007,1137059
2022-12-15,1600.8966064453125,1627.6296808716954,1596.008805126451,1615.9589151905316,1041690
2022-12-16,1583.1409912109375,1605.9838920409554,1577.2058820553714,1595.0113312878807,1533418
2022-12-19,1615.0113525390625,1622.941472675869,1586.1834188064706,1591.0712201824424,1508476
2022-12-20,1611.6199951171875,1614.4628618089132,1589.0763922371848,1610.9216681168427,866377
2022-12-21,1577.8541259765625,1625.1857095666603,1571.5697931086534,1614.462526275059,1397725
2022-12-22,1540.4478759765625,1590.2233057158792,1526.183497845925,1582.1435350804459,2100618
2022-12-23,1493.315673828125,1539.4503037081445,1488.2782222916585,1520.497699000677,1673592
2022-12-26,1531.1708984375,1541.0960291705612,1479.4502641040262,1493.1659643343296,1329547
2022-12-27,1533.8642578125,1547.5301571055254,1514.2134468983406,1541.1460971396154,1102198
2022-12-28,1518.901611328125,1530.8716776054046,1509.2258564603153,1530.8716776054046,1411078
2022-12-29,1507.92919921875,1518.203555825872,1499.3008730059855,1511.2210164758187,3417120
2022-12-30,1543.9888916015625,1569.076179731099,1522.043770206722,1524.1884314234708,2638505
2023-01-02,1548.6273193359375,1556.1086107336955,1524.7371108454206,1546.1335555366848,1061404
2023-01-03,1559.1009521484375,1566.0834900019495,1540.198273379892,1545.1358764414138,1306648
2023-01-04,1543.9888916015625,1563.4402492015347,1536.5575241991792,1558.1036190336788,1036103
2023-01-05,1465.185791015625,1544.138368241058,1451.071065169823,1544.138368241058,5979381
2023-01-06,1426.781982421875,1469.8742935298674,1419.4503412737286,1469.8742935298674,5207616
